method,run,segment,IAE,mean_pwm,kp_mean,ki_mean,kd_mean
Horizon30_Full_DDIM30,1,decel73,8.6567,76.72589391863933,0.5838799160122872,1.6878058800697326,0.11815891027450559
Horizon30_Full_DDIM30,2,start70,39.4878,72.49311095520733,0.5871761572957038,1.5571750955581667,0.0310643238544464
Horizon30_Full_DDIM30,2,accel95,15.395900000000001,97.54472314124348,0.5500498365163803,1.4597978094816206,0.057373723483085566
Horizon30_Full_DDIM30,2,decel90,3.078100000000001,93.3473303535852,0.55,1.5373650583028793,0.08609328002929685
Horizon30_Full_DDIM30,2,decel73,9.1017,76.80644339661927,0.581718166589737,1.4700043303966523,0.09439511175155633
Horizon30_Full_DDIM30,3,start70,39.4607,71.97874157570905,0.6021697116494179,1.5471290394067765,0.036513113594055166
Horizon30_Full_DDIM30,3,accel95,15.521900000000006,97.3876432577547,0.6044946030974389,1.47693386888504,0.08404133706092833
Horizon30_Full_DDIM30,3,decel90,3.141,93.1713841402791,0.6012771190404892,1.6294866620302202,0.11670531620979308
Horizon30_Full_DDIM30,3,decel73,8.122400000000004,76.43294835148242,0.5822774415016174,1.8060927460193636,0.11696123957633972
Horizon30_Full_DDIM30,4,start70,39.0663,71.39657915400909,0.5993690928816796,1.596464236974716,0.030163775324821472
Horizon30_Full_DDIM30,4,accel95,14.604300000000002,96.65627865815877,0.5521934794187545,1.475970969796181,0.05976778929233548
Horizon30_Full_DDIM30,4,decel90,3.262299999999998,92.22577774447512,0.55,1.5405122904777526,0.08588126049041744
Horizon30_Full_DDIM30,4,decel73,9.006800000000004,75.81247983690038,0.5527691614031791,1.6383386298418046,0.09866829013824459
Horizon30_Full_DDIM30,5,start70,39.014300000000006,71.48945720000002,0.6000000000000001,1.5999999999999996,0.03
Horizon30_Full_DDIM30,5,accel95,14.124600000000001,97.1467427995528,0.5550428823828697,1.5710000537633897,0.05651018321514125
Horizon30_Full_DDIM30,5,decel90,3.3923999999999994,92.79922672480788,0.8750659248828887,1.4112793048620227,0.08993512601852412
Horizon30_Full_DDIM30,5,decel73,9.037600000000003,76.00078216507016,0.7556425699591638,1.5261361876726154,0.11606392421722407
