backend,control_dt,target_before,target_after,target_profile,target_change_times,IAE,mean_abs_error,final_error,after_change_IAE,after_change_max_error,disturbance_IAE,disturbance_max_error,disturbance_min_current,settling_time_after_change,mean_pwm,total_pwm,max_pwm,saturation_ratio_percent,saturation_duration,near_high_saturation_ratio_percent,server_gain_applied_count,schedule_gain_applied_count,schedule_apply_mode,schedule_chunk_accepted_count,schedule_fallback_count,server_gain_discarded_count,duplicate_gain_discard_count,unsafe_gain_discard_count,local_gain_reduction_count,local_gain_recovery_count,min_kp_scale,min_ki_scale,latency_source_to_accept_sec_mean,latency_source_to_accept_sec_p50,latency_source_to_accept_sec_p90,latency_source_to_accept_sec_max,latency_source_to_apply_sec_mean,latency_source_to_apply_sec_p50,latency_source_to_apply_sec_p90,latency_source_to_apply_sec_max,latency_generated_to_accept_sec_mean,latency_generated_to_accept_sec_p50,latency_generated_to_accept_sec_p90,latency_generated_to_accept_sec_max,latency_generator_duration_sec_mean,latency_generator_duration_sec_p50,latency_generator_duration_sec_p90,latency_generator_duration_sec_max,latency_timing_slack_sec_mean,latency_timing_slack_sec_p50,latency_timing_slack_sec_p90,latency_timing_slack_sec_max,target_70_IAE,target_70_mean_abs_error,target_70_max_error,target_73_IAE,target_73_mean_abs_error,target_73_max_error,target_90_IAE,target_90_mean_abs_error,target_90_max_error,target_95_IAE,target_95_mean_abs_error,target_95_max_error,method,file
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",54.91890000000002,3.0959450000000004,0.2639999999999958,22.40130000000002,25.200000000000003,,,,10.9,84.5769224795045,1686.53844959009,100.91354,0.0,0.0,0.0,3,66,delay_aware,9,134,1,1,0,0,0,1.0,1.0,1.374168128678293,1.365487813949585,1.3670787811279297,2.5306499004364014,1.93299828153668,1.9497350454330444,2.426392078399658,2.5337398052215576,0.0363734924432003,0.032505989074707,0.0807888507843017,0.0807888507843017,1.260250033754291,1.283517599105835,1.3325717449188232,1.3325717449188232,-1.3348484848484847,-1.3499999999999996,-0.8000000000000007,-0.5999999999999979,32.517599999999995,7.903520000000002,70.0,6.467000000000009,1.2933999999999994,16.573999999999998,2.8225000000000064,0.5645000000000008,4.519999999999996,13.111800000000002,2.6223600000000005,25.200000000000003,Full_Diffusion_DDIM40_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim40_pure_dyn_70_95_90_73_r1_20260511_132553.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",55.211900000000014,3.110595,0.1599999999999966,22.941900000000025,24.980999999999995,,,,10.9,84.3905411287117,1682.8108225742344,103.13927717189074,0.0,0.0,0.0,1,119,delay_aware,11,81,0,0,0,0,0,1.0,1.0,1.28820765920046,1.2582831382751465,1.5772230625152588,2.3204588890075684,1.8740631031389,1.8949544429779053,2.4251747131347656,2.534955739974976,0.0333088987013872,0.0155079364776611,0.0810127258300781,0.0913851261138916,1.1958874173525,1.203168869018555,1.2458455562591553,1.2470736503601074,-1.2798319327731094,-1.299999999999999,-0.7999999999999989,-0.5999999999999996,32.27,7.853999999999998,70.0,6.491000000000011,1.2982,17.131,2.8902000000000085,0.5780400000000009,5.2309999999999945,13.560700000000004,2.7121400000000007,24.980999999999995,Full_Diffusion_DDIM40_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim40_pure_dyn_70_95_90_73_r2_20260511_132629.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",54.80010000000002,3.090005000000001,0.1230000000000046,22.681400000000025,24.899,,,,11.0,84.46527057160354,1684.3054114320712,103.92466753396154,0.0,0.0,0.0,1,118,delay_aware,11,82,1,1,0,0,0,1.0,1.0,1.2821783433526248,1.2574665546417236,1.4674735069274902,2.2062339782714844,1.864335411686008,1.890690565109253,2.425130820274353,2.531386137008667,0.0393388533996323,0.0261855125427246,0.0870087146759033,0.102550983428955,1.1757452205076055,1.1656246185302734,1.2424664497375488,1.2424664497375488,-1.2720338983050847,-1.299999999999999,-0.7699999999999986,-0.5999999999999996,32.1187,7.82374,70.0,6.714700000000014,1.3429400000000005,17.009,2.653400000000007,0.5306800000000004,5.278000000000006,13.313300000000003,2.6626600000000007,24.899,Full_Diffusion_DDIM40_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim40_pure_dyn_70_95_90_73_r3_20260511_132705.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",57.795400000000015,3.23977,0.316999999999993,25.500600000000013,24.806,,,,11.8,84.50995489066601,1685.1990978133203,102.58215490036903,0.0,0.0,0.0,1,118,delay_aware,11,82,0,0,0,0,0,1.0,1.0,1.3055224923764246,1.258986234664917,1.387194228172301,2.317102670669556,1.8740566403178844,1.893613338470459,2.4235942363739014,2.53315544128418,0.0691917872024794,0.0915889739990234,0.1055183410644531,0.1055183410644531,1.1705937587608726,1.1616623401641846,1.208163499832153,1.2243494987487793,-1.2805084745762714,-1.2999999999999994,-0.7999999999999996,-0.6000000000000014,32.2948,7.85896,70.0,8.384100000000005,1.676819999999999,17.378,3.7343000000000055,0.7468600000000006,4.918000000000006,13.382199999999996,2.6764399999999995,24.806,Full_Diffusion_DDIM40_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim40_pure_dyn_70_95_90_73_r4_20260511_132741.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",55.379000000000026,3.1189500000000003,0.1680000000000063,23.386600000000016,24.849000000000004,,,,11.0,84.1232777489457,1677.4655549789138,101.41695143866542,0.0,0.0,0.0,1,129,delay_aware,11,71,0,0,0,0,0,1.0,1.0,1.2267979669940563,1.1522650718688965,1.4684865474700928,2.100522994995117,1.834470876427584,1.789684772491455,2.422108268737793,2.5315191745758057,0.0343496577684269,0.0259974002838134,0.0923857688903808,0.1033411026000976,1.1390953507534294,1.1391499042510986,1.162926435470581,1.172353982925415,-1.2441860465116283,-1.200000000000001,-0.7000000000000008,-0.5999999999999979,31.992400000000007,7.79848,70.0,6.772900000000016,1.3545800000000006,16.911,2.7574000000000045,0.5514800000000002,4.986999999999995,13.8563,2.77126,24.849000000000004,Full_Diffusion_DDIM40_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim40_pure_dyn_70_95_90_73_r5_20260511_132816.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",54.93430000000002,3.096715,0.2489999999999952,23.01970000000001,25.15300000000001,,,,10.9,84.00944169639185,1675.188833927837,100.34096000000002,0.0,0.0,0.0,1,64,delay_aware,8,136,1,1,0,0,0,1.0,1.0,1.4992589056491852,1.4697670936584473,1.681483030319214,1.681483030319214,2.0139142498373985,2.0008989572525024,2.425356721878052,2.5308291912078857,0.0510569065809249,0.0390172004699707,0.0837042331695556,0.0837042331695556,1.4227099791169169,1.4287497997283936,1.43678617477417,1.43678617477417,-1.4140625000000004,-1.4000000000000012,-1.0,-0.9000000000000004,31.9146,7.782920000000001,70.0,7.374400000000013,1.4748799999999995,17.090999999999994,2.8977000000000026,0.5795399999999998,5.361000000000004,12.747600000000002,2.54952,25.15300000000001,Full_Diffusion_DDIM50_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim50_pure_dyn_70_95_90_73_r1_20260511_132907.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",54.90130000000003,3.095065,0.0210000000000007,22.74670000000002,25.126000000000005,,,,11.1,84.33765984883547,1681.7531969767092,100.02232,0.0,0.0,0.0,0,93,delay_aware,9,107,1,1,0,0,0,1.0,1.0,1.531761864180206,1.472527265548706,1.577566385269165,1.7886624336242676,2.030609523096392,2.000682830810547,2.426379489898681,2.53410267829895,0.0586252366342852,0.0690102577209472,0.0941988468170165,0.0985918045043945,1.4239729963323122,1.413367748260498,1.474599027633667,1.476973533630371,-1.4290322580645165,-1.4000000000000004,-1.0,-0.8999999999999986,32.1546,7.830919999999997,70.0,7.605000000000011,1.5210000000000006,16.733999999999995,2.7027000000000028,0.54054,5.027000000000001,12.439000000000007,2.4878000000000013,25.126000000000005,Full_Diffusion_DDIM50_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim50_pure_dyn_70_95_90_73_r2_20260511_132943.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",55.44960000000002,3.1224799999999995,0.2870000000000061,23.57720000000002,25.295,,,,11.0,83.68440046903527,1668.6880093807058,99.8032,0.0,0.0,0.0,0,96,delay_aware,9,104,1,1,0,0,0,1.0,1.0,1.5002415080865223,1.4693660736083984,1.5799329280853271,1.678138017654419,2.01472332328558,1.999919414520264,2.427206873893738,2.535841226577759,0.041176863014698,0.0270030498504638,0.0790576934814453,0.0790576934814453,1.4193054015437765,1.4241313934326172,1.4449822902679443,1.4863457679748535,-1.4145833333333335,-1.4000000000000004,-1.0,-0.8999999999999986,31.872399999999995,7.774479999999999,70.0,7.403800000000013,1.48076,17.242999999999995,2.646800000000003,0.52936,4.763999999999996,13.526600000000002,2.7053200000000004,25.295,Full_Diffusion_DDIM50_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim50_pure_dyn_70_95_90_73_r3_20260511_133019.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",54.34360000000001,3.06718,0.0819999999999936,22.486500000000014,25.15300000000001,,,,10.9,83.90663259307603,1673.1326518615208,99.5137,0.0,0.0,0.0,2,59,delay_aware,8,141,1,1,0,0,0,1.0,1.0,1.6799443859164995,1.6839663982391355,1.6865170001983645,2.3177530765533447,2.105987763000747,2.109680652618408,2.528939056396484,2.5348799228668213,0.0530004743802345,0.0706293582916259,0.0910184383392334,0.0910184383392334,1.5921630253226071,1.5963952541351318,1.6175901889801023,1.6175901889801023,-1.4983050847457628,-1.5,-1.100000000000001,-1.0,31.8571,7.771420000000001,70.0,6.91470000000001,1.3829399999999996,17.070999999999998,2.636000000000004,0.5272000000000002,5.027000000000001,12.9358,2.5871599999999995,25.15300000000001,Full_Diffusion_DDIM50_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim50_pure_dyn_70_95_90_73_r4_20260511_133054.csv
esp32,0.1,70.0,73.0,70->95->90->73,"5,10,15",55.33930000000002,3.1169649999999995,0.1680000000000063,23.62740000000002,25.014,,,,11.1,83.62848234304178,1667.5696468608355,99.72772,0.0,0.0,0.0,2,60,delay_aware,8,140,1,1,0,0,0,1.0,1.0,1.6839093406995138,1.6825556755065918,1.683436155319214,2.2144339084625244,2.1076492071151733,2.1080801486968994,2.528881072998047,2.535310983657837,0.0502861022949218,0.0555148124694824,0.0865297317504882,0.0865297317504882,1.5936543981234232,1.5931923389434814,1.6290669441223145,1.6290669441223145,-1.5,-1.5,-1.1000000000000003,-1.0,31.711900000000004,7.74238,70.0,7.732600000000013,1.54652,17.034000000000006,3.224700000000004,0.64494,4.923000000000002,12.6701,2.53402,25.014,Full_Diffusion_DDIM50_5run,results\kafka_control\local_kafka_controller_metrics_esp32_delay_aware_full_diffusion_ddim50_pure_dyn_70_95_90_73_r5_20260511_133130.csv
